#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Oil production by country 1900-2022
#Time span: 1900-2022
#----------------------------------------------------------------
#Variable: Oil production by country
#Source: Our World in Data; "Oil Production"
#Source link: https://ourworldindata.org/grapher/oil-production-by-country
#Data accessed: 2023-11-15Description: Our World in Data processes original data from The Energy Institute Statistical Review of World Energy and the The Shift Data Portal--links below
#Additional links: The Energy Institute Statistical Review of World Energy: https://www.energyinst.org/statistical-review; The Shift Data Portal: https://theshiftdataportal.org/energy
#================================================================
Year,United States,Saudi Arabia,Russia,Canada,Iraq,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,USSR,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Western Sahara,World,Yemen,Yugoslavia,Zambia,Zimbabwe
1933,5.13,0,,0.01,0,,0,0,,0,,0.08,,,0,0,,,0,0,0,,,,,,,0,,,0,,0.01,0,,,,0,,,,,0,0,0.08,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.01,0.23,0.3,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.2,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.02,,,0,,0.31,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.06,0,0,,,0.9,,,0,0,,,,,0.72,,,8.24,,0,,
1934,5.15,0,,0.01,0.04,,0,0,,0,,0.08,,,0,0,,,0,0,0,,,,,,,0,,,0,,0.02,0,,,,0,,,,,0,0,0.1,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.01,0.25,0.32,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.23,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.09,0,0.02,,,0,,0.35,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.06,0,0,,,1.01,,,0,0,,,,,0.84,,,8.7,,0,,
1935,5.64,0,,0.01,0.15,,0,0,,0,,0.09,,,0,0,,,0.01,0,0,,,,,,,0,,,0,,0.02,0,,,,0,,,,,0,0.01,0.1,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.02,0,,0,,,,,0,,,,,,,0,,0.01,0.25,0.32,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.24,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.09,0,0.02,,,0,,0.35,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.07,0,0,,,1.06,,,0,0,,,,,0.92,,,9.46,,0,,
1936,6.22,0,,0.01,0.16,,0,0,,0,,0.09,,,0,0,,,0.03,0,0,,,,,,,0,,,0,,0.02,0,,,,0,,,,,0,0.01,0.11,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.02,0,,0,,,,,0,,,,,,,0,,0.01,0.27,0.35,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.25,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.1,0,0.02,,,0,,0.36,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.08,0,0,,,1.15,,,0,0,,,,,0.96,,,10.3,,0,,
1937,7.24,0,,0.01,0.17,,0,0,,0,,0.1,,,0,0,,,0.04,0,0,,,,,,,0,,,0,,0.02,0,,,,0,,,,,0,0.01,0.12,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.02,0,,0,,,,,0,,,,,,,0,,0.01,0.3,0.43,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.28,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.1,0,0.02,,,0,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.09,0,0,,,1.19,,,0,0,,,,,1.16,,,11.73,,0,,
1938,6.87,0,,0.04,0.17,,0,0,,0,,0.1,,,0,0,,,0.05,0,0,,,,,,,0,,,0,,0.03,0,,,,0,,,,,0,0.01,0.12,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0,,0.01,0.31,0.43,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.23,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.09,0,0.02,,,0,,0.28,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.11,0,0,,,1.26,,,0,0,,,,,1.18,,,11.45,,0,,
1939,7.16,0.02,,0.04,0.17,,0.01,0,,0,,0.11,,,0,0.01,,,0.04,0,0,,,,,,,0,,,0,,0.03,0,,,,0,,,,,0,0.02,0.14,,0,,,0,,0,,,0,0,0,,,,,0.01,0.03,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.01,,0.01,0.33,0.41,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.26,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0.02,,,0,,0.26,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.12,0,0,,,1.27,,,0,0,,,,,1.28,,,11.93,,0,,
1940,7.66,0.03,,0.05,0.1,,0.01,0,,0,,0.12,,,0,0.02,,,0.04,0,0,,,,,,,0,,,0,,0.04,0,,,,0,,,,,0,0.02,0.15,,0,,,0,,0,,,0,0,0,,,,,0.01,0.04,,,,,,,,,,,0,,,0,,,0.04,0,,0,,,,,0,,,,,,,0.01,,0.02,0.33,0.37,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.26,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.02,,,0,,0.24,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.14,0,0,,,1.3,,,0,0,,,,,1.15,,,12.31,,0,,
1941,7.93,0.02,,0.06,0.07,,0.01,0,,0,,0.13,,,0,0.03,,,0.04,0,0,,,,,,,0,,,0,,0.03,0,,,,0,,,,,0,0.03,0.14,,0,,,0,,0,,,0,0,0,,,,,0.01,0.05,,,,,,,,,,,0,,,0,,,0.04,0,,0,,,,,0,,,,,,,0.02,,0.02,0.29,0.28,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.26,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.01,,,0,,0.23,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.12,0,0,,,1.35,,,0,0,,,,,1.4,,,12.68,,0,,
1942,7.85,0.03,,0.06,0.11,,0.01,0,,0,,0.14,,,0,0.04,,,0.04,0,0,,,,,,,0,,,0,,0.02,0,,,,0,,,,,0,0.03,0.06,,0,,,0,,0,,,0,0,0,,,,,0.01,0.05,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.03,,0.02,0.13,0.4,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.21,,0,,,0,,0.01,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0.02,,,0,,0.24,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.29,,,0,0,,,,,0.9,,,11.94,,0,,
1943,8.52,0.03,,0.05,0.15,,0.01,0,,0,,0.15,,,0,0.05,,,0.04,0,0,,,,,,,0,,,0,,0.03,0,,,,0,,,,,0,0.01,0.08,,0,,,0,,0,,,0,0,0,,,,,0.01,0.05,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.04,,0.02,0.26,0.41,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.21,,0,,,0,,0.01,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0.02,,,0,,0.22,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.15,,,0,0,,,,,1.09,,,12.85,,0,,
1944,9.49,0.04,,0.05,0.17,,0,0,,0,,0.15,,,0,0.05,,,0.04,0,0,,,,,,,0,,,0,,0.03,0,,,,0,,,,,0,0.01,0.13,,0,,,0,,0,,,0,0,0,,,,,0.02,0.06,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.03,,0.02,0.12,0.56,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.23,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0.02,,,0,,0.15,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.56,,,0,0,,,,,1.55,,,14.75,,0,,
1945,9.7,0.12,,0.05,0.19,,0,0,,0,,0.14,,,0,0.02,,,0.04,0,0,,,,,,,0,,,0,,0.01,0,,,,0,,,,,0,0.01,0.13,,0,,,0,,0,,,0,0,0,,,,,0.01,0.06,,,,,,,,,,,0,,,0,,,0.02,0,,0,,,,,0,,,,,,,0.03,,0.01,0.04,0.72,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.26,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0,,,0,,0.19,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,0.81,,,0,0,,,,,1.94,,,14.74,,0,,
1946,9.81,0.34,,0.04,0.2,,0.01,0,,0,,0.12,,,0,0.04,,,0.05,0,0,,,,,,,0,,,0,,0.01,0,,,,0,,,,,0,0,0.13,,0,,,0,,0,,,0,0,0,,,,,0.01,0.05,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.03,,0.01,0.01,0.82,,0,0,,0.01,,,,,,0.03,,,,,,,0,,,,,,0,,,,,,,0.3,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0,,,0,,0.18,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.12,0,0,,,0.91,,,0,0,,,,,2.33,,,15.68,,0,,
1947,10.51,0.51,,0.04,0.2,,0.01,0,,0,,0.13,,,0,0.04,,,0.05,0,0,,,,,,,0,,,0,,0.07,0,,,,0,,,,,0,0,0.14,,0,,,0,,0,,,0,0,0,,,,,0.01,0.06,,,,,,,,,,,0,,,0,,,0.02,0,,0,,,,,0,,,,,,,0.02,,0.01,0.05,0.86,,0,0,,0.01,,,,,,0.09,,,,,,,0,,,,,,0,,,,,,,0.34,,0,,,0,,0,,,,0.01,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.01,,,0,,0.16,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.09,,,0,0,,,,,2.61,,,17.27,,0,,
1948,11.43,0.8,,0.07,0.14,,0.01,0,,0,,0.14,,,0,0.04,,,0.06,0,0,,,,,,,0,,,0,,0.11,0,,,,0,,,,,0,0,0.14,,0,,,0,,0,,,0,0,0,,,,,0.01,0.08,,,,,,,,,,,0,,,0,,,0.03,0,,0,,,,,0,,,,,,,0.02,,0.01,0.18,1.06,,0,0,,0.01,,,,,,0.27,,,,,,,0,,,,,,0,,,,,,,0.35,,0,,,0,,0,,,,0.02,,,0,,,0,,,,,0,0,0,,,,,0.08,0,0.01,,,0,,0.17,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.12,0,0,,,1.22,,,0,0,,,,,2.94,,,19.54,,0,,
1949,10.42,0.97,,0.12,0.17,,0.01,0,,0,,0.14,,,0,0.05,,,0.06,0,0,,,,,,,0,,,0,,0.14,0,,,,0,,,,,0,0,0.17,,0,,,0,,0,,,0,0,0,,,,,0.01,0.1,,,,,,,,,,,0,,,0,,,0.04,0,,0,,,,,0,,,,,,,0.02,,0.01,0.26,1.14,,0,0,,0.01,,,,,,0.52,,,,,,,0,,,,,,0,,,,,,,0.33,,0,,,0,,0,,,,0.03,,,0,,,0,,,,,0,0,0.01,,,,,0.08,0,0.01,,,0,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.4,,,0,0,,,,,2.87,,,19.43,,0,,
1950,11.17,1.12,,0.16,0.28,,0.01,0,,0,,0.14,,,0,0.07,,,0.06,0,0,,,,,,,0,,,0,,0.17,0,,,,0,,,,,0,0.01,0.2,,0,,,0,,0,,,0,0,0,,,,,0.01,0.11,,,,,,,,,,,0.01,,,0,,,0.05,0,,0,,,,,0,,,,,,,0.02,,0.01,0.3,1.35,,0,0,,0.01,,,,,,0.72,,,,,,,0,,,,,,0,,,,,,,0.43,,0,,,0,,0,,,,0.03,,,0,,,0,,,,,0,0,0.01,,,,,0.09,0,0.01,,,0.07,,0.21,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.12,0,0,,,1.59,,,0,0,,,,,3.26,,,21.8,,0,,
1951,12.72,1.55,,0.27,0.36,,0.01,0,,0,,0.15,,,0,0.1,,,0.06,0,0,,,,,,,0,,,0,,0.21,0,,,,0,,,,,0,0.01,0.22,,0,,,0,,0,,,0,0,0,,,,,0.01,0.1,,,,,,,,,,,0.01,,,0,,,0.06,0,,0,,,,,0,,,,,,,0.02,,0.01,0.35,0.71,,0,0,,0.01,,,,,,1.17,,,,,,,0,,,,,,0,,,,,,,0.45,,0,,,0,,0,,,,0.03,,,0,,,0,,,,,0,0,0.01,,,,,0.09,0,0.01,,,0.1,,0.26,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.77,,,0,0,,,,,3.73,,,24.72,,0.01,,
1952,12.96,1.69,,0.34,0.78,,0.01,0,,0,,0.15,,,0,0.12,,,0.06,0,0,,,,,,,0,,,0,,0.21,0,,,,0,,,,,0,0.02,0.22,,0,,,0,,0,,,0,0,0,,,,,0.02,0.1,,,,,,,,,,,0.01,,,0,,,0.07,0,,0,,,,,0,,,,,,,0.03,,0.01,0.37,0.06,,0,0,,0.01,,,,,,1.57,,,,,,,0,,,,,,0,,,,,,,0.46,,0,,,0,,0.01,,,,0.03,,,0,,,0,,,,,0,0,0.01,,,,,0.09,0,0.01,,,0.14,,0.34,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,1.98,,,0,0,,,,,3.96,,,25.99,,0.01,,
1953,13.34,1.72,,0.46,1.18,,0.01,0,,0,,0.17,,,0,0.13,,,0.06,0,0,,,,,,,0,,,0,,0.2,0,,,,0,,,,,0.01,0.03,0.23,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.1,,,,,,,,,,,0.02,,,0,,,0.09,0,,0,,,,,0,,,,,,,0.04,,0.01,0.44,0.06,,0,0,,0.01,,,,,,1.8,,,,,,,0,,,,,,0,,,,,,,0.43,,0,,,0,,0.01,,,,0.03,,,0,,,0,,,,,0,0,0.01,,,,,0.09,0,0.01,,,0.17,,0.38,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.13,0,0,,,2.21,,,0,0,,,,,3.86,,,27.48,,0.01,,
1954,13.1,1.96,,0.54,1.28,,0.01,0,,0,,0.18,,,0,0.14,,,0.06,0,0,,,,,,,0.01,,,0.01,,0.2,0,,,,0,,,,,0.01,0.03,0.23,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.08,,,,,,,,,,,0.02,,,0,,,0.11,0,,0,,,,,0,,,,,,,0.05,,0.01,0.47,0.15,,0,0,,0.01,,,,,,2.01,,,,,,,0,,,,,,0,,,,,,,0.49,,0,,,0,,0.01,,,,0.04,,,0,,,0,,,,,0,0,0.01,,,,,0.1,0,0.01,,,0.2,,0.41,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.14,0,0,,,2.48,,,0,0,,,,,4.14,,,28.77,,0.01,,
1955,14.06,2,,0.73,1.39,,0.01,0,,0,,0.18,,,0,0.15,,,0.06,0,0,,,,,,,0.01,,,0.01,,0.22,0.01,,,,0,,,,,0.01,0.04,0.23,,0,,,0,,0,,,0,0,0,,,,,0.02,0.08,,,,,,,,,,,0.04,,,0,,,0.13,0,,0,,,,,0,,,,,,,0.07,,0.01,0.51,0.69,,0,0.01,,0.01,,,,,,2.31,,,,,,,0,,,,,,0,,,,,,,0.52,,0,,,0,,0.01,,,,0.04,,,0,,,0,,,,,0,0,0.01,,,,,0.1,0,0.01,,,0.23,,0.44,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.15,0,0.01,,,2.96,,,0,0,,,,,4.73,,,32.24,,0.01,,
1956,14.81,2.05,,0.97,1.32,,0.01,0,,0,,0.19,,,0,0.14,,,0.06,0,0,,,,,,,0.02,,,0.02,,0.24,0.01,,,,0,,,,,0.02,0.05,0.26,,0,,,0,,0,,,0,0,0,,,,,0.02,0.07,,,,,,,,,,,0.05,,,0,,,0.15,0,,0,,,,,0,,,,,,,0.05,,0.02,0.55,1.1,,0,0.02,,0.01,,,,,,2.32,,,,,,,0,,,,,,0,,,,,,,0.53,,0,,,0,,0.01,,,,0.05,,,0,,,0,,,,,0,0,0.01,,,,,0.1,0,0.01,,,0.25,,0.46,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.17,0,0.01,,,3.51,,,0,0,,,,,5.41,,,35.09,,0.01,,
1957,14.81,2.09,,1.02,0.92,,0.02,0,,0,,0.2,,,0,0.13,,,0.07,0,0,,,,,,,0.02,,,0.06,,0.23,0.01,,,,0,,,,,0.02,0.06,0.26,,0,,,0,,0,,,0,0,0,,,,,0.02,0.1,,,,,,,,,,,0.06,,,0.01,,,0.17,0,,0,,,,,0,,,,,,,0.03,,0.02,0.66,1.51,,0,0.05,,0.01,,,,,,2.45,,,,,,,0,,,,,,0,,,,,,,0.52,,0,,,0,,0.02,,,,0.06,,,0,,,0,,,,,0,0,0.01,,,,,0.11,0,0.01,,,0.28,,0.47,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.2,0,0.01,,,4.12,,,0,0,,,,,6.11,,,36.97,,0.02,,
1958,13.86,2.16,,0.93,1.5,,0.02,0.02,,0,,0.21,,,0,0.12,,,0.09,0,0,,,,,,,0.02,,,0.1,,0.22,0.01,,,,0,,,,,0.03,0.09,0.27,,0,,,0,,0,,,0,0,0,,,,,0.02,0.13,,,,,,,,,,,0.06,,,0.02,,,0.19,0,,0,,,,,0,,,,,,,0.03,,0.02,0.69,1.73,,0,0.06,,0.02,,,,,,3,,,,,,,0,,,,,,0,,,,,,,0.55,,0,,,0,,0.02,,,,0.07,,,0,,,0.01,,,,,0,0,0.01,,,,,0.1,0,0.01,,,0.34,,0.47,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.22,0,0.01,,,4.74,,,0,0,,,,,5.68,,,37.9,,0.02,,
1959,14.57,2.36,,1.04,1.76,,0.02,0.05,,0,,0.27,,,0,0.1,,,0.09,0,0,,,,,,,0.02,,,0.13,,0.23,0.01,,,,0,,,,,0.04,0.15,0.3,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.13,,,,,,,,,,,0.07,,,0.03,,,0.21,0,,0,,,,,0,,,,,,,0.04,,0.02,0.77,1.94,,0.01,0.07,,0.02,,,,,,3.02,,,,,,,0,,,,,,0,,,,,,,0.57,,0,,,0,,0.02,,,,0.07,,,0,,,0.02,,,,,0,0,0.01,,,,,0.1,0,0.01,,,0.33,,0.48,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.24,0,0.02,,,5.42,,,0,0,,,,,6.06,,,40.9,,0.02,,
1960,14.57,2.7,,1.07,1.99,,0.03,0.36,,0,,0.38,,,0,0.1,,,0.09,0,0,,,,,,,0.02,,,0.16,,0.19,0.01,,,,0,,,,,0.04,0.23,0.32,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.14,,,,,,,,,,,0.08,,,0.03,,,0.23,0,,0,,,,,0,,,,,,,0.05,,0.02,0.87,2.24,,0.01,0.08,,0.02,,,,,,3.55,,,,,,,0,,,,,,0,,,,,,,0.58,,0,,,0,,0.02,,,,0.08,,,0,,,0.04,,,,,0,0,0.02,,,,,0.11,0,0.01,,,0.34,,0.48,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.25,0,0.02,,,6.19,,,0,0,,,,,6.25,,,44.07,,0.04,,
1961,14.83,3.07,,1.24,2.05,,0.03,0.66,,0,,0.49,,,0,0.1,,,0.09,0,0,,,,,,,0.02,,,0.19,,0.17,0.01,,,,0,,,,,0.05,0.26,0.3,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.16,,,,,,,,,,,0.09,,,0.03,,,0.26,0,,0,,,,,0,,,,,,,0.06,,0.02,0.89,2.48,,0.01,0.08,,0.03,,,,,,3.64,,,,,,,0.04,,,,,,0,,,,,,,0.63,,0,,,0,,0.02,,,,0.09,,,0,,,0.09,,,,,0,0,0.02,,,,,0.11,0,0.01,,,0.35,,0.48,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.27,0,0.02,,,6.95,,,0,0,,,,,6.39,,,46.91,,0.06,,
1962,15.14,3.41,,1.38,2.06,,0.03,0.86,,0.02,,0.57,,,0,0.1,,,0.09,0,0,,,,,,,0.02,,,0.18,,0.16,0.01,,,,0,,,,,0.06,0.28,0.3,,0.01,,,0,,0,,,0.01,0,0,,,,,0.01,0.2,,,,,,,,,,,0.1,,,0.03,,,0.28,0,,0,,,,,0,,,,,,,0.07,,0.05,0.95,2.76,,0.01,0.08,,0.03,,,,,,4.11,,,,,,,0.37,,,,,,0,,,,,,,0.66,,0,,,0.01,,0.02,,,,0.09,,,0,,,0.14,,,,,0,0,0.02,,,,,0.12,0,0.01,,,0.37,,0.5,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.29,0,0.02,,,7.8,,,0.03,0,,,,,7,,,50.88,,0.06,,
1963,15.57,3.71,,1.45,2.37,,0.03,0.99,,0.03,,0.57,,,0,0.11,,,0.09,0,0,,,,,,,0.02,,,0.2,,0.14,0.01,,,,0,,,,,0.07,0.31,0.34,,0,,,0,,0,,,0.01,0,0,,,,,0.01,0.24,,,,,,,,,,,0.11,,,0.04,,,0.31,0,,0,,,,,0,,,,,,,0.07,,0.07,0.93,3.08,,0.01,0.07,,0.03,,,,,,4.4,,,,,,,0.93,,,,,,0,,,,,,,0.67,,0,,,0.01,,0.03,,,,0.09,,,0,,,0.16,,,,,0,0,0.02,,,,,0.12,0,0.01,,,0.38,,0.51,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.29,0,0.03,,,8.63,,,0.1,0.01,,,,,7.1,,,54.59,,0.07,,
1964,15.77,3.96,,1.55,2.58,,0.03,1.11,,0.04,,0.59,,,0.01,0.11,,,0.1,0,0,,,,,,,0.02,,,0.18,,0.15,0.01,,,,0,,,,,0.07,0.36,0.36,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.27,,,,,,,,,,,0.12,,,0.04,,,0.32,0,,0,,,,,0,,,,,,,0.08,,0.09,0.96,3.54,,0.01,0.11,,0.03,,,,,,4.85,,,,,,,1.73,,,,,,0,,,,,,,0.68,,0,,,0.01,,0.02,,,,0.1,,,0,,,0.25,,,,,0,0,0.02,,,,,0.13,0,0.01,,,0.42,,0.52,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.29,0,0.04,,,9.36,,,0.38,0.01,,,,,7.46,,,58.96,,0.08,,
1965,17.91,4.65,,1.84,2.71,,0.03,1.09,,0.03,,0.58,,,0.01,0.12,,,0.12,0,0,,,,,,,0.02,,,0.21,,0.17,0.01,,,,0,,,,,0.07,0.47,0.45,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.27,,,,,,,,,,,0.13,,,0.05,,,0.33,0,,0,,,,,0,,,,,,,0.08,,0.13,1.03,4.01,,0.01,0.1,,0.03,,,,,,4.98,,,,,,,2.43,,,,,,0,,,,,,,0.76,,0,,,0,,0.02,,,,0.1,,,0,,,0.57,,,,,0,0,0.02,,,,,0.14,0,0.01,,,0.49,,0.54,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.28,0,0.06,,,10.17,,,0.57,0,,,,,7.71,,,65.63,,0.09,,
